full_text,username,original_text,processed_text,sentiment,confidence
Kepala Otorita Ibu Kota Nusantara (IKN) Basuki Hadimuljono bicara tentang minat investor yang akan segera masuk ke IKN. https://t.co/KUxED5nhrk,detikfinance,Kepala Otorita Ibu Kota Nusantara (IKN) Basuki Hadimuljono bicara tentang minat investor yang akan segera masuk ke IKN. https://t.co/KUxED5nhrk,kepala otorita ibu kota nusantara ikn basuki hadimuljono bicara tentang minat investor yang akan segera masuk ke ikn,Negative,0.9725027084350586
Memasuki awal tahun 2025 rencananya akan dilangsungkan prosesi peletakan batu pertama atau groundbreaking di Ibu Kota Nusantara (IKN). https://t.co/NxWdZRCvpy,detikfinance,Memasuki awal tahun 2025 rencananya akan dilangsungkan prosesi peletakan batu pertama atau groundbreaking di Ibu Kota Nusantara (IKN). https://t.co/NxWdZRCvpy,memasuki awal tahun 2025 rencananya akan dilangsungkan prosesi peletakan batu pertama atau groundbreak di ibu kota nusantara ikn,Negative,0.956710159778595
Kaleidoskop 2024 Dalam Negeri IKN (Ibu Kota Nusantara) di Kalimantan Timur masih sorotan utama. Perkiraan habiskan anggaran Rp466 triliun. Sampai saat ini sdh habiskan anggaran Rp140 7 triliun. Semula diinfokan ke publik anggarannya bersumber dari swasta. Faktanya dari APBN https://t.co/WqsaHS774R,musniumar_,Kaleidoskop 2024 Dalam Negeri IKN (Ibu Kota Nusantara) di Kalimantan Timur masih sorotan utama. Perkiraan habiskan anggaran Rp466 triliun. Sampai saat ini sdh habiskan anggaran Rp140 7 triliun. Semula diinfokan ke publik anggarannya bersumber dari swasta. Faktanya dari APBN https://t.co/WqsaHS774R,kaleidoskop 2024 dalam negeri ikn ibu kota nusantara di kalimantan timur masih sorotan utama perkiraan habiskan anggaran rp466 triliun sampai saat ini sdh habiskan anggaran rp140 triliun semula diinfokan ke publik anggarannya bersumb dari swasta faktanya dari apbn,Negative,0.97487872838974
Mimin mau spill ke kalian nihh progress Traning Centre PSSI di Ibu Kota Nusantara - Kalimantan Timur! #ADHIIKN #PSSIIKN #ADHIIKNTrainingCentre https://t.co/7iMJtRJLv9,electrizen_trk,Mimin mau spill ke kalian nihh progress Traning Centre PSSI di Ibu Kota Nusantara - Kalimantan Timur! #ADHIIKN #PSSIIKN #ADHIIKNTrainingCentre https://t.co/7iMJtRJLv9,mimin mau spill ke kalian nihh progress trane centr pssi di ibu kota nusantara kalimantan timur,Negative,0.9743073582649231
PLN berhasil merampungkan 3 (tiga) infrastruktur bertegangan tinggi untuk menopang sistem kelistrikan Ibu Kota Negara (IKN) Nusantara. Ketiga infrastruktur dengan realisasi Tingkat Komponen Dalam Negeri sebesar 67 29%. #PLNHUBIKN #PLNSukseskanIKN https://t.co/dMVdttY1yp,electrizen_trk,PLN berhasil merampungkan 3 (tiga) infrastruktur bertegangan tinggi untuk menopang sistem kelistrikan Ibu Kota Negara (IKN) Nusantara. Ketiga infrastruktur dengan realisasi Tingkat Komponen Dalam Negeri sebesar 67 29%. #PLNHUBIKN #PLNSukseskanIKN https://t.co/dMVdttY1yp,pln berhasil merampungkan tiga infrastruktur bertegangan tinggi untuk menopang sistem kelistrikan ibu kota negara ikn nusantara ketiga infrastruktur dengan realisasi tingkat komponen dalam negeri sebesar 67 29,Negative,0.9575325846672058
Rusun ASN di Ibu Kota Nusantara Hampir Selesai Dukung Pemerintahan Modern di Kalimantan Timur! https://t.co/2vvr7ZIEeX,beritatrencom,Rusun ASN di Ibu Kota Nusantara Hampir Selesai Dukung Pemerintahan Modern di Kalimantan Timur! https://t.co/2vvr7ZIEeX,rusun asn di ibu kota nusantara hampir selesai dukung pemerintahan modern di kalimantan timur,Negative,0.8352935314178467
Infrastruktur di IKN Halo #SobatBUMN! Sinergi PT Wijaya Karya (Persero) Tbk (WIKA) dengan BUMN Karya salurkan bantuan Pendidikan di Ibu Kota Nusantara (IKN) mulai dari beasiswa sarana dan prasarana sekolah serta memajukan infrastruktur di IKN pada Jumat (4/10/2024).,bjkterpercaya1,Infrastruktur di IKN Halo #SobatBUMN! Sinergi PT Wijaya Karya (Persero) Tbk (WIKA) dengan BUMN Karya salurkan bantuan Pendidikan di Ibu Kota Nusantara (IKN) mulai dari beasiswa sarana dan prasarana sekolah serta memajukan infrastruktur di IKN pada Jumat (4/10/2024).,infrastruktur di ikn halo sinergi pt wijaya karya persero tbk wika dengan bumn karya salurkan bantuan pendidikan di ibu kota nusantara ikn mulai dari beasiswa sarana dan prasarana sekolah serta memajukan infrastruktur di ikn pada jumat 4102024,Negative,0.9869415163993835
Otoritas Ibu Kota Nusantara (OIKN) menjelaskan bahwa kereta tanpa rel atau Autonomous Rail Transit (ART) yang diproduksi China Railway Rolling Stock Corporation (CRRC) akan dikembalikan. https://t.co/qldk2ly0QM,JavanicaPost,Otoritas Ibu Kota Nusantara (OIKN) menjelaskan bahwa kereta tanpa rel atau Autonomous Rail Transit (ART) yang diproduksi China Railway Rolling Stock Corporation (CRRC) akan dikembalikan. https://t.co/qldk2ly0QM,otorita ibu kota nusantara oikn menjelaskan bahwa kereta tanpa rel atau autonom rail transit art yang diproduksi china railway roll stock corpor crrc akan dikembalikan,Negative,0.987984299659729
@Bambangc5563 Betul. Selama belum layak jadi ibu kota dan lengkap sarana pemerintahannya jangan grusa grusu teken keppres. Kalau ada aktivitas negara nanti cost nya mahal sebab harus wara wiri Jakarta - Nusantara,Kimberley_PS08,@Bambangc5563 Betul. Selama belum layak jadi ibu kota dan lengkap sarana pemerintahannya jangan grusa grusu teken keppres. Kalau ada aktivitas negara nanti cost nya mahal sebab harus wara wiri Jakarta - Nusantara,betul selama belum layak jadi ibu kota dan lengkap sarana pemerintahannya jangan grusa grusu teken keppr kalau ada aktivita negara nanti cost nya mahal sebab haru wara wiri jakarta nusantara,Negative,0.9929288029670715
Investasi RRT di Indonesia tentu tidak hanya dana tapi biasanya ada 'ikutannya'. |China Jadi Salah Satu Investor Utama Proyek Ibu Kota Nusantara https://t.co/6qlDEOzJLH,Dogelkarya76_82,Investasi RRT di Indonesia tentu tidak hanya dana tapi biasanya ada 'ikutannya'. |China Jadi Salah Satu Investor Utama Proyek Ibu Kota Nusantara https://t.co/6qlDEOzJLH,investasi rrt di indonesia tentu tidak hanya dana tapi biasanya ada ikutannya china jadi salah satu investor utama proyek ibu kota nusantara,Negative,0.9803376197814941
