_at,",id_str,f",ull_te,xt,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,Unnamed: 13,Unnamed: 14,cleaned_text,sentiment,confidence
14,23:58:49,0,2023,1724577659399879936,@Nikmatul_Sg Masyarakat sangat berharap untuk Ganjar Mahfud M3nang pemilu 2024,0,0,0,0,in,1629327642926409984,1724426884316879872,indahmayori,https://twitter.com/indahmayori/status/1724577659399885027,masyarakat harap ganjar mahfud mnang milu,Netral,0.3468901216983795
14,23:58:24,0,2023,1724577555221789952,"@kumparan @kumparanplus Saya dukung sih ucapan pak Prabowo, tidak boleh ada kecurangan yg mewarnai pemilu ini. Tpi pak...pasangan anda itu lho, melenggang jd wakil dgn cara spt apa. Tpi ya sudahlah....kata bu Mega, hasil pemilu kli ini jangan sampai curan",0,0,0,0,in,1207481250581070080,1724277364644059904,Sophie99arch,https://twitter.com/Sophie99arch/status/1724577555221791148,dukung sih ucap prabowo curang warna milu tpi pakpasangan lho lenggang wakil dgn spt tpi sudahlahkata mega hasil milu kli cur,Netral,0.41275694966316223
14,23:57:59,0,2023,1724577449537860096,"#TemanPemilih, kamu perlu tahu inilah Nomor Urut Pasangan Calon Peserta Pemilu Presiden dan Wakil Presiden Tahun 2024. Selengkapnya, simak infografis ini ya...  #KPUMelayani #PemiluSerentak2024  Repost @kpu_ri https://t.co/dO1PGxQLrn",0,0,0,0,in,768670419742097024,1724577449537860096,kpukabsumbawa,https://twitter.com/kpukabsumbawa/status/1724577449537868065,nomor urut pasang calon serta milu presiden wakil presiden lengkap simak infografis repost,Netral,0.3481122851371765
14,23:57:34,0,2023,1724577344520910080,Pemilu milih siapa ya?  Gaa da bayanganðŸ˜‚,0,0,0,0,in,326691663,1724577344520910080,grace_saa,https://twitter.com/grace_saa/status/1724577344520913064,milu milih gaa bayang,Positif,0.3934226334095001
