Author,Ulasan
@ibankthogerr9673,Gibran cerdas
@user-ue9my4cl1r,Gibran lebih berkulitas
@Saeun-lc2gy,Mvp nya Gibran
@user-nn4gw8rh7f,"Jujur.... Insyallah orang yang berwibawa,itu yang baik...dan akan jadi yang terbaik...<br>Orang yang berwibawa ciri khas Indonesia,...<br>Tidak sombong,takut janji,.......merangkul,sadar dalam perang tidak mudah,berhati hati,saya tidak menyebut namanya...ini hanya doa dr Masyarakat kecil untuk beliau.Aminn<br><br>Yang kedua, Pemimpin adalah jiwa yang tegas,tidak mudah menyerah,yakin dalam keyakinannya membela yang benar....<br>Beliau berdiri sendiri mampu berjuang....Insyaallah beliau adalah orang baik yang tangguh serta bisa mengayomi masyarakatnya. Aminnn<br><br>Harta tak berguna jika Masyarakatnya sengsara. Amin amin amin"
@nuraisah6811,Waalaikum salam bang  ada 3 emisifitas 1 tinggi 2 sedang 3 rendah
@user-px9qo1sm7l,Bismillah pak prabowo dan mas gibran yakin smoga allah mengabulkan amin yra
@jmchanel9363,2024 Ganjar mahfud terbaik
@imammuarif7388,2
@dennismahariansyah582,"Gibran dan pak mahfud terlihat kecerdasan nya,,, si imin mah cuma ngikutin cara menata kata anis"
@satrianadakangtaka4094,"Mas Gibran kecil&quot; cabe rawit,cabe rawitnya cabe rawit mercon mantap!!! Jagoan kita.lnsya Allah tgl 14-02-24 Pak Prabowo dn mas Gibran terpilih amiiin..."
@faizah4420,w.s4l4m  smu4ny4   n  smngt  mz gibr4n  n pk pr4bowo    n th4nk you infony4
@starvens24,Kalau dari gaya bicaranya like father like son sie... nmun ngk tau deh blm 100% krn karirnya kan di kota kecil. Sorry2 bukan bandingin. But its real and kelihatan proses pengalaman itu tidak mengkhianati hasil. Dari kepala kota kecil ke kepala kota besar / ibukota negara lalu kepala negara. Menrt saya that the real true proccess/experience.<br>Terbukti tidak ada yg instan utk suatu pemegang kekuasaan. Itulah yg lbh menyakinkan. Hehe sorry tdk ada di kandidat sprtnya. 🙏🏻just opini ya. Dont sensitive. Hehe
@agungwahyuutomo297,"No 2 toleransi, ucapan salamnya komplit.... ❤ terimakasih mas Gibran."
@yasingalih631,Murah gratis 😅😂😂
@user-nn4gw8rh7f,"Maaf, pakai hati pakai otak....kenapa tidak pakai Hati saja.....<br><br>Otak ini bisa negatif dan juga positif..<br><br>Insyaallah cukup Pakai Hati saja.....Kita sejahtera."
@setanbelek5714,Halah ketiga tiganya bulsyit semua...<br><br>Janji tinggal janji...<br>Masalah terbukti mah nanti..
@imelabisetia8849,Apapun itu gus imin is the best.. jangan lupa kaum milenial pilihan y ya pak anies
@rezkyhermawan3143,PRABOWO-GIBRAN 2 😁👍🏻
@riochristando9378,Gibrannn ank muda luar biasaaa🎉🎉🎉 gass prabowo gibran😍💪🏻
@vannawawi4820,Tegang Amat Penyampaian&#39;y ......Minum dulu Tong SAMSUL 😂 😂 biar ga&#39; Keselek mulu 😂
@noldyronald5892,"Dari debat ini saya langsung Cikar kanan to Gibran... Yg lain bertele2,, apalagi saya dengar ada janji nominal uang 5M...Janji2 manis pakai nominal, Bosan dengernya,, ...😢😢😢😅"
@renopamekasan,"gk usah banyak janji manis, dari dulu korupsi tetap jadi raja di indonesia ,,maling ayam babak belur😂😂😂😂"
@istrisahbajikeisuke8878,"Apansih slepat slepet gajelas .. gw netral tp kata &quot;slepet&quot; bikin risih di dengerin , sokk iyee lu iminnn"
@lie_wei5918,Halah...berdebat ingin mensejahterakan rakyat sendiri dan ingin mengurangi angka kemiskinan.<br>Tapi yg jelas jelas rohingya saja tidak bisa di basmi<br>Tidak kerja mala dikasih makan dan uang.<br>Itupun tidak trima kasih.<br>Sedngkan rakyat sendiri banyak yg lebih susah...
@yusupmaulana8182,Wahh ini pake jasa ratting ya.. Begitulah org2 licik segala cara diperbuat hadeuuhhh
@timbultimbul6261,Prabowo prestasi nya tidak ada
@majuntakgentar8731,"di luar dugaan, ternyata Gibran Luarbiasa, bahkan melebihi relijius Bapak nya. <br>Tajam,jelas,singkat, padat, kreatif,enerjik,santun.<br>ini gambaran pemuda tidak kalah dengan yg tua berpengalaman panjang.<br>cln no 1, hayalan selepet melulu.<br>cln no 3. berkarakter belibet, <br>cln no 2. lua.....rrrr biasaaaa...a<br>betul ini pemimpin masa depan indonesia jaya.<br>GIBRAAA.......N.....Yes......💪💪👍👍👍👍"
@user-zf6hd4iw9q,"Kalau gibran sy yakin krna prsis pak jokowi,<br>Tp kn cuma wakil.<br>Klau pak prabowo,semoga amanah la."
@kamaluddinathoillah,Dari awal juga saya yakin pak Prabowo bakalan menjadi guru yg hebat buat Gibran. Dan terbukti di debat cawapres yg pertama Gibran mampu menjawab semuanya... Salut buat pak Prabowo selalu memilih wakil yg tepat. Semoga 2024 jatahnya bapak untuk memimpin negri ini 5 tahun kedepan... Aamiin
@lestari2663,10 tahun juga bisa
@atunayu5161,"gibran belum layak jadi pemimpin NKRI belum cukup ,umur belum berpengalaman  kurang dewasa    juga belum mengabdi  nusa dan bangsa juga kurang berwibawa"
@pebyadesaputra9722,di bayar berapa sama cawapres musuh??😂​@@atunayu5161
@pebyadesaputra9722,​@@atunayu5161mas gibran adalah contoh buat kaum muda buat bisa menjadi Indonesia emas kayanya anda harus belajar lagi menanggapi orang lain😂 anak muda bukan berarti gk bisa
@atunayu5161,"@@pebyadesaputra9722 belum cukup umur  belum dewasa kamu dengar gk bisa masuk cawapres itu aja udah curang udah melanggar UUD itu kalau bukan pamanya jadi ketus mk itu gk bisa masuk cawapres kau tau gk pamanya,turun jabatan dari mk secara tidak terhormat"
@widirahmaya128,Gibran ternyata bisa bersaing dengan orang2 yang katanya hebat dan bahkan stole the stage with flying colors !!<br><br>Uddaaaaahhhh... Prabowo Gibran pemimpin kita 2024 - 2029 !!
@yayanchanel4235,"Spertinya banyaks sekali buzzer prabowo yg komen di mari...pake bot kali ya..ga masuk akal komenya mirip dn pro gibran smua..pdhl ini youtub itu umum, penampilan gibran jg bnyak kurangnya bisa ngomong krn udh latian mulu, tp jawaban ga nyambung"
@user-sk9mg9ox7n,"40 kota baru setara Jakarta.. pemerataan pembangunan perkotaan,  pembangunan investasi.. Sebenarnya mereka juga mau IKN tapi mereka hanya mau berkelit supaya terdengar berbeda oleh pendukung"
@user-wc2sn3sp6s,Saya sebagai orang thionghoa akan dukung prabowo gibran
@user-gc7tb5do6i,Prabowo Gibran josssss
@jansolimi8065,"Dukung gibran karna saya org solo haha,solo emng skrngg berubah total di era gibran dan emng memudahkan anak&quot; muda seperti saya yg baru umur 17th dg memulai usaha sendiri😁"
@yayanchanel4235,"Gibran jawab pertanyaan ga nyambung.. ditanya infrastruktur sosial malah jawab sanitasi dn stunting, ditanya rasio pajak 23% malah jawab kebun binatang, dia ngasih pertanyaan jebakan dg istilah tdk umum! Licik sekali, pak Mahfud paling jelas kasih jawab substantif.. jam terbang keliatan"
@asnimuhrani9926,Gibran👍👍👍👍
@abimchannel6585,Hanya karena baru tau bisa ngomong jadi bangga gitu😂
@RizaL_Setiawan97,Parabowo - Gibran 💯
@rizkyjayatekhnik5408,prabowo gibran
@user-dw2by5vk8q,"Kalau 03 tidak di ketek Banteng saya mutlak pilih 03. <br>Sayangnya kondisi berbeda..Jokowi dari asalnya adalah tokoh, beda dengan Ganjar yang kader..sangat bahaya kalau banteng menang.<br>Tapi saya juga ga mau pilih 01 yang ahli membual , dan tukang slepet..bahkan Gus Dur aja di slepet.<br><br>Paling minim dzolim ada di paslon 02 walaupun saya masih setengah hati..tapi daripada yang buruk lainnya..ini lebih mendingan"
@debbylputrie4873,Kocak maksain kata slepet
@auliarahman4554,mas gibran kalo kta saya mending istirahat/tidur dulu aja
@vitriadewi7607,"Suaranya mirip banget pak jokowi , kalo nontonnya hanya sekedar mendengar dikira pak jokowi yg lagi debat 😅"
@demsonful,kwakwakwakwwk... gak jauh pohon dari buahnya... si Anis mantap membuat janji. dan menular kepada si Muhaimin...<br>keren keren bapak
@jakaajah6450,Pokoknya yang curang mudah2 an kalah dan kena Azab
@latipprianto8744,😍
@wirasetiawan-ig5py,Tolong ya capres dan cawapres klo kepilih siapapun manusianya. Di urus negara inj dengan baik dan benar sy sebagai masyarakat indonesia  yang taat bayar pajak . Mendoa kan agar seluruh rakyat Indonesia bebas dari kemiskinan dan sy berharap pemimpin yang jujur adil dan memikirkan rakyat nya terima kasih. Sekian pesan dari saya ya tolong di urus negara indonesia ini oke. Assalamualaikum wr wb  ❤
@kombat732,"Betul itu , tapi tolong rakyat jga harus disiplin dalam segala bidang , tak ada nyinyir2an palsu , tak ada lagi fitnah2 yg tidak memakai logika cerdas , jga harus sadar kalau mengelola negara ini tidak semudah membalikan tangan ( ujug2 langsung sejahtera , harus melalui tahapan2 yg terencana baik itu rencana jangka pendek dan jangka panjang ) ."
@edipurwanto-kq9cp,@@kombat732 jawaban yang mbulet dan ngakali.
@brianmay1361,Ya itu harapan semua orang
@NonaElok,Aamiin....semoga seperti itu keadaannya nanti Negeri ini
@ega123marvel9,"Seandai nya pak prabowo membawa pak mahfud jadi wakil nya,, insya allah menang satu putaran."
@wentigirl8257,Tangio bro ojo ngipi terus
@dongo.321,andai ganjar + gibran + psi gua otomatis ga perlu bingung bingung lagi 🙃 mereka bdua tu paling cerdas dari smua.
@maymay-np3yf,"Semenjak lihat ini jadi tau, tidak semua orang Jawa sopan dan menghargai orang yang lebih tua😅"
@zenohsama2252,"salut sama si bocil, lawannya senior2 yg beda 20 tahunan umurnya, ada yg prof. pula, tapi dia tidak gentar dan bisa menyampaikan semua dgn tenang dan efektif, emg boruto underrated lah"
@papibailaen5600,01 dan 02 d ulti mas gibran
@user-zf6hd4iw9q,Kemarin di buli.<br>Sekarang di puji.<br><br>Klau sy si dh tau kyk bpk nya ga byk janji.
@papibailaen5600,Benarkah indonesia memiliki umat islam terbanyak d dunia gus?😂
@twisv,saya sebagai warga Indonesia yang baik dan tidak sombong saya dukung no.2 😁
@Gimana677,Gibran benar-benar menghajar 2 orang ini hahahahha
@benobakara,"<a href=""https://www.youtube.com/watch?v=J1WUpRCzK44&amp;t=1h46m00s"">1:46:00</a> yang cari suara udah😂"
@iinwahyuni4255,❤ bapak e jan ethes
@Ditaorland23,WIHHH KERENN BGTTT PAK GIBRAN🥵🫶😚🖤
@balibadboy,Air bersih buat rmh nak muda bukan buat sawah😂
@user-dj2ik6lj7u,Muhaimin kalo habis ngomong bibirnya gitu. Gue gemes bgt liatnya
@dubes1237,Prabowo gibran mantab
@ilhamham-nm6yo,Asam sulfat
@m.rian0723,"Sgie🤣. Apalah gibran ni, di kira lagi main kuis apa"
@enaldjuna3714,"W puter berulang-ulang  di waktu <a href=""https://www.youtube.com/watch?v=J1WUpRCzK44&amp;t=1h46m00s"">1:46:00</a> bnr ada yang ngomong UDAH perempuan,sadis samsul ordal smua"
@m.hidayatrohman5292,prabowo allin
@taufanfadhlil4397,Wkwkwk cak imin di ulti 😂
@opstore.onexplore8366,P2 mulai reset ulang
@leo-chachavlogtravelandfoo1641,Gilaa si paslon no 3 ...masa cmn kesejahteraan buat mesjidd wkwwkkwkwk agama laem ga d sebut ..hadehh ...ini mah jgn d pilihh wkwkwkwk...PRABOWO GIBRAN ❤❤❤❤ MENGHORMATI AGAMA LAEN ... GA KAYA 2 LAENNYEE .. WKWKWKWK
@imanshart1185,Gibran berkualitas
@waktutube,I news harus nya netral gk boleh pasang banner gitu
@allvideochannel593,"Wkwkwk, minta ilmu sama mas Gibran"
@sultanmuarif2596,Cak imin slepet
@Agung-ek5cm,Saya kok bingung ya kemaren banyak yang dukun anis kok sekarang Prabowo Gibran. Mendadak pindah ya?😂
@alfisirot5136,Top komen  full pendukung paslon 2. Pendukung paslon lain cuma bisa sanggahan.😂😂😂
@balibadboy,Min min uud omnisbulaw ramah bagi investor gak ramah sama pegawainya..
@muhamadhusein5472,Makin jelas no. 1 the best
@ridwanfebri9048,Perlu di INGAT : LAKI-LAKI SEJATI YANG DI PEGANG ADALAH UCAPAN NYA BUKAN JANJI NYA ❤
@ramoncr2634,Lah gimana2?..kan janji itu keluar dari ucapan
@ridwanfebri9048,"@@ramoncr2634 nahh gini nih kalau ngobrol sama ikan pesut ?! Rada SEDIKIT di jelas kan secara detail 🤣😂 Biar Otak nya bener dikit 😆  itu istilah Bro (Ucapan) Contoh : Ane Mau pergi MAKAN di tempat makan dan sudah di Rencanakan (Di catet)  Menu lauk nya di selembaran kertas : Tempe , Tahu dan sayur Lodeh . Harus sesuai sama ke inginan Ane di awal (VALID) . <br><br>KALAU JANJI . <br>CONTOH : Ane nanti mau Makan di tempat makan Pakai : Tempe , tahu , ayam , sayur SOP dan sambel ... Tapi pas SAMPAI Warteg ane Berubah pikiran tuh ... Janji di awal gak sesuai sama ke inginan Yang Ane Mau . . . ane malah ngambil : Ati ampela , Kentang , bakwan jagung dan Sayur Asem ... <br> <br>Paham sampai Sini ?! 😊"
@ridwanfebri9048,"@@ramoncr2634 Kalau Mau ane Kasih Contoh Extrem nya : Paslon Capres No.1 Beliau BerUcap dan Berjanji : akan Membangun Hunian Rumah DP 0% atau Rupiah , , tapi kenyataan di Lapangan BERBEDA . Orang lain berfikir Rumah ternyata Rusun ini yang disebut (Janji) tidak Sesuai Dengan Ucapan di Awal ... Seandainya Paslon 1 Sesuai Sama Ucapan dan Janji Beliau akan Membangun Rumah bukan Rusun Berarti Ucapan yang Beliau Sampai kan Kepada Masyarakat BENAR Berarti Ucapan yang Beliau Sampaikan SESUAI yang di Harapkan Masyarakat. . . <br><br>Contoh Ke 2 : Kalau ente Memiliki PASANGAN Dan Ber ucap akan Menikahi pasangan ente , Ente Harus Siap dan TEPATI Bukan di GANTUNG kaya Jemuran BASAH !!! A ya A , Bukan Jawaban nya :  B atau C . . . Konsisten/ Komit Sama Ucapan di Awal ."
@manijanwiro6388,Sy umur 62 aja dukung gibran apalagi yg muda harusnya bangga punya tokoh anak muda
@fransiskusdero9848,Cawpersiden nmr3 BPK bicara tentang korupsi selama ini BPK dimana?  ingat bapak sebagai apa sebelum jadi calon  cawpersiden nmr3
@nursyaida2979,Takut bangett lohhh sama janji pak mahfud😢 wkwk
@miftahulhasanudinmpd7768,Prof Md luaaar biaaaasaa...banyak ilmu.dan pengetahuan yang bisa kita ambil alias kuliah gratis nih😂
@rahmanhakim9455,Bpak gibran rakabuming raka is the best ...
@sahabatabuy493,Belimbing sayur yg di gombor gemborkan loyo...malah ia pemenang debat ..makin mntap milih prabowo gibran....penuh ide dan tegas
@setiawanherysantoso6461,"Cak Imin, kurang memberikan step kongkrit dan strategi."
@user-yp7qn7mh2t,"Assalamualaikum warahmatullahi wabarokatuh, bukan hanya debat saja, semoga siapapun nanti yang jadi pemimpin negara kita sadar menyadari dan menyadarkan,dan semoga menjadi bapak negara yg bisa menjadi tauladan secara dhohir batin secara intelektual secara finansial dan bisa jadi penyelamat negara dan rakyat Indonesia sejahtera semuanya, aaammiiin...❤❤❤❤❤❤❤"
@user-xx9du1kd3r,Gibran mantapp bnget sopan yaa❤
@marioadolfofficial,Damai Natal bersamamu Gibran
@busmanadam6319,Cak imin ikut peresmian bukan berarti setuju ikn
@hoursrec8787,Nomor 2 coblos
@herysan7189,Yang muda yang berkarya
@dikriibrahim4659,Klo orang cerdas bijak .. amin buka. . Prabowo bukan ... Kaya nya Ganjar mahfud yng lebih hebat
@gistara4604,"Bismillahirrahmanirrahim, Prabowo Gibran yg akan mengantarkan indo ke hal yg lebih jelas ,👍👈🙏"
@leo-chachavlogtravelandfoo1641,Di sini kalo g liat yg profesor Gibran ...wkwkwkwkwk ....
@milagunanijanuarista1045,"Saya cuman nungguin mas gibran ngomong ,se keren itu"
@putratasik4805,Gibran 👍
@putratasik4805,GIBRAN 👍👍👍👍👍👍👍
@fanaizofficial2219,"Hapalan mah gampang, tp klo dr otak sendiri yg kurang😂"
@AdiKuswara-mb8gl,"Menit <a href=""https://www.youtube.com/watch?v=J1WUpRCzK44&amp;t=58m26s"">58:26</a> ada yg lewat"
@prayodanger4,MODERATOR CEWEK SABAR SEKALI HAHAHA 😂
@eroladventure859,Terima kasih salam Damai bagi Indonesia ❤
@allvideochannel593,"Hala, pemerataan ikut2tan gaya pak jokowi😂😂😂 kocak"
@yopiprasetyorinaldhi5822,Hidup golput gak ada yg masuk
@allvideochannel593,Butuh berapa anggaran buat 40 kota😂
@user-lm1ys3pu8g,Tp setelah melihat debat ini yg paling menguasai ialah prof Mahfud MD sedangkan Gibran sama cak Imin ngawur
@user-ei6pp9ox2r,Lp
@IqlimatulKaisy,"<a href=""https://www.youtube.com/watch?v=J1WUpRCzK44&amp;t=1h45m59s"">1:45:59</a> ada suara siapa ya?"
@putrapleredpurwakarta7155,Hidup generasi muda
@user-wc9xq9uc7i,Masih ketemuan sama vikri prasetio apa gading martin<br>Kali
@tretanmadura5203,Orang madura pasti senang orang senang pilih bpk ganjar🙌🏻
@cahyocundarso-gh4bl,Skil yg bagus Gibran dengan singkat jawab
@TantricandraasihNiluh,Kamu kamu kamuu kamuu lagi <br>😅
@periartalin8719,Hanya gibran yang dari hati ucapannya karna tidak pakai teks di season akhir
@eroladventure859,Paham benar... Gibran
@arifpetol9580,Bener kata mas Gibran kalo cak imin ini aneh dan ngawur + gk jelas blaassssssssss..😂😂😂😂
@kornelianova3118,Gibran mantap❤
@rihannesia,paslon no 2 op sekarang di debat kedua
@kimnur-ia4014,Moderator nya ga sinkron
@arifpetol9580,Bismillah Prabowo dan Gibran go RI.1 dan RI.2 🎉🎉
@randiaziz5212,perasaan gbrn nomer 2 knpa jd lebih awal menyatakan gagasannya...
@arifpetol9580,Gibran the best 🎉🎉🎉
@user-ym6rt8wy5e,O2❤
@diditsaputra4138,No 1 AMIN RI 1 2024
@user-ym6rt8wy5e,❤
@user-yi9xw5kh4y,Ah muhaimin ini nyontek
@allvideochannel593,Kok melenceng jwbn MMD
@dapurchannel4047,"Gibran berkualitas,Prabowo berpengalaman cocok lah sudah coblos no. 2 Prabowo Gibran,Yeessss"
@allvideochannel593,Keren jawaban mas Gibran
@hendryofficial7241,Buat ke 3 paslon.. <br>kalau dah jadi jangan lupa ama rakyat.... 😂😂😂
@arifpetol9580,Wakil no 1 blibed dan gk jelas 😂😂😂
@saefulihsan2921,"Menit ke <a href=""https://www.youtube.com/watch?v=J1WUpRCzK44&amp;t=1h46m01s"">1:46:01</a> ada suara perempuan bilang &quot;udah&quot;. Coba kerasin volume. Gibran dibisiki seorang perempuan."
@ahmadyani3064,"Gibran is the best<br>Enak di mengerti apa yg di paparkan nya, dikira cupu ternyata suhu❤"
@dapurkiky,ANAK MUDA JELASSS DONG PRABOWO GIBRAN ALL IN lapangan pekerjaan sangat di butuhkan
@darmawawan2740,tetap saja cari kerjaan susah karna masih d tanya ijasa umur dan pngalaman..gmn tidak kemiskinn berkmbang mkin bnyk tdak mala menurun
@verramargareth,Gibran sangat cerdas 👏🏼👏🏼
@dapurkiky,Anak muda All in gibran ..
@allvideochannel593,"Belum2 kok uang 150T😂😂😂, nambah lagi hutangnya"
@asholtv6150,Dukung Anis
@asholtv6150,Saya dukung Anis dan cak imin
@allvideochannel593,Muhaimin pinter omong kayak capresnya😂
@teowae9841,Anak muda pasti Prabowo 🫰
@masteripink,"sedih untuk 1 tujuan ini,,, KULIAH GRATIS UNTU ANAK XXXX,,  mending kuliah gratis UNTUK ANAK YG BERPRESTASI,"
@allvideochannel593,"Hala, pak MMD sok2an bilang korupsi. Padahal di peralat PDI, biar banyak dewan dari partai PDI😂"
@fariknaik4023,"Aminkan saja bersih tanpa cacat Hukum, dan kecurangan MK"
@TheKararangges,MAU JADI TUAN RUMAH DI NEGRI SENDIRI..PILIH NO 1
@Siska_Wulandari21,Muda dan berkualitas..mantab mas gibran
@CitraR.R,Bangga banget sama mas Gibran
@allvideochannel593,Wala pret mahfud MD
@anissawidyastuti8019,Berkualitas apa yg dibicarakan sma pak gribran. Jadi bangga sama beliau
@teofilus3245,"Tetep nomor 2, PDI waktu nya istirahat dulu nggeh"
@arjunasetiatuhu8930,40 kota selevel Jakarta...😂😂😂
@teofilus3245,"Orak miskin rakyat pakde, seng miskin ki seng ra bersyukur"
@JunasAiri-rf8fl,Mas gibran...mas gibran...nngrrti debat tdk...sruh menaggapi lawan ny kok yo mlh orasi sndri piye😅
@kandarmanroe5100,bnyak akun baru yg comment ya   😛😛😛
@opal6713,"Judul FULLL DEBAT CAWAPRESSS Tapi kok ada di cut bjirliat ae menit <a href=""https://www.youtube.com/watch?v=J1WUpRCzK44&amp;t=55m46s"">55:46</a>"
@dwitachannel6519,"semua org kaget melihat gibran spt ini,  maka mereka semua iri dengki menyelimuti otaknya"
@linalitafia8612,Bisa ga sih tukeran pasangan wkwk wakil pak Anis pak Mahfud aja
@FriendsArt93,Selepet😅
@ahmadfauzyalghozali2013,letsgooo gibrannnn
@snisaaxyxcc5547,Saya pasti bakalan pilih prabowo gibran di pilores 2024
@saywargaming2154,Si amin sruh closing statement visi  misi mlu.. pet kepet
@snisaaxyxcc5547,Gibran keren di cemes trs sm gibrrn brvo gibrn jwaa tengah hdir klten broooooo
@liskagustiani2298,Bismillah Prabowo &amp; Gibran❤
@sunsea7335,gua masih bimbang mau milih siapa
@midkholhuda6738,"Kalo cuma main istilah, cak Imin dan pak Mahfudz lebih pintar"
@user-zh9cw7pg2i,Siap.. Prabowo gibran 1 putaran😍
@midkholhuda6738,"Mestinya level Cawapres itu bicara substansi, bukan cuma istilah teknis."
@Covid--19virus,Cuma karna ES GE I E si samsul dikira pintar sama pendukungnya🤣
@anissawidyastuti8019,Ya emng lu bisa menjabarkan hal itu sedetail mungkin kyk pak Gibran. Satu lagi cawapres ga ad namanya Samsul ati² klo ngomong
@syafiuddin1774,Sebenarnya pak mahfud lebih mengusai dan lebih memahami segala pertanya ❤
@hendrisyafrianto7453,Bismillah PRABOWO-GIBRAN 1 PUTARAN
@Davedrumholic,Min min...ngomong seenak udel mu 😂😂
@Maximcianjur22,"<a href=""https://www.youtube.com/watch?v=J1WUpRCzK44&amp;t=39m00s"">39:00</a> tidak ada jawaban yang cocok solusi dari permasalah yang di tanya,"
@dhenn_babon123,"Gibran terah komdang, iseh nom wes kondang👍🏼👍🏼"
@midkholhuda6738,Gibran bermain istilah untuk MENUTUPI KELEMAHANnya melawan 1 dan 3😅😅
@KaroGadang-kg9dd,Kasih kesempatan lah yg muda untuk maju belum tentu yng muda itu buruk kepemimpinnan nya 👍🏻👍🏻
@ganisoktalia2283,Ayo kk pilih no 2
@atunayu5161,"belum waktunya bro kurang umur,,,negara ini bukan mainan"
@adisugi2372,Mas Gibran mantap
@user-dl7it2br8h,Kami sepakat akan memilih anis
@wahyususilo906,"Terlihat gibran lebih berkualitas,"
@alkindichannel3277,Kayak mau menjatuhkan lawannya <br>Duh
@jack05indonesia79,ganjar pranowo &amp; mahfud MD insyaallah akan memimpin di 2024.
@dikiwahyudi6156,Gembar gembor probowo yang memang ttp usungan pdi
@daaz3464,2 orang tua di ayam ayamin sama seorang pemuda....😂
@LisaAnggraini-hq2cr,Gibran itu yg bicara bukan gibran sendiri melainkan di tuntun sama elektronik coba saudara2 lihat di kupingnya..kalaosaudara2mau tau dan mengerti..ok
@titanzahro,"Sudah banyak yg membantah pak, itu hoax"
@anissawidyastuti8019,"Lisa Lisa klo ngomong ati², mana ad elektronik di kuping. Itu mic dan gaada curang² pake bantuan dikuping"
@fitrianudin1379,Amin tetep di hati
@daissy80,Gibran ❤
@desibaye6132,"Mentang mentan jokowi bukan asn / pns , jadi presdn belum pernah menaikan gsjih pns selama 10 th"
@daissy80,Gibran ❤
@chanelkito5033,"Bangsa Melayu tdk akan goyah iman ny, bgsa Melayu lbih mmilih agama, bagi yg waras,<br>Ilmu politik luas tpi agama dangkal mka agama akn di obrak abir cmpur aduk,.  Ttp lh no 1😊"
@athaillah7962,Kebanyakan slepet kena slepet. 😅😅😅😅
@PrabaAndari,Si mahmud ditanya apa jawabnya apa
@husniwardi4809,"Kayak di prank mas gibran,yg smula jarang berbicara tiba2 duwaaarrrr.kbanyakan tdk menyangka.saluuttt.yakin no 2"
@mohzuhdy5044,Gibran
@mohzuhdy5044,Gibran
@fathirpaldaterakbulen8587,gibran pidatunya mendengarkan suara dr mic setan betul sok cerdas
@mohzuhdy5044,Gibran
@mohzuhdy5044,Prabowo gibran
@arsyamazing1929,2 yes
@KomarUdin-vq3zf,"Dari awal sy pedukung Amin,tapi setelah mengikuti acara debat insya jadi berubah pilihan.demi Allah pemilu yg akan datansy pilih Prabowo gibrag"
@riezkayana8420,"Ditanya apa, dijwb apa 😂 di komen blm terjwb, tp ngegas blg org ga nyimak 😂😂 adab nya krg bagus"
@desibaye6132,"Pak prabowo bagus , ksmi melihat cln wakilnya ,meragukan"
@user-zb5um7wb6g,5% doang pak? trus 95% ny kemna??😢
@riezkayana8420,"Pak imin meskipun disindir2, tp tetap  tenang dan tdk terpancing.. Salutt.. Adab santri mmg tdk di ragukan.. Semangat AMIN ❤"
@SaminoSamino-nz3bx,Bda jauh n bda muda coz yg mda lbih prpnglamn n mrsakan pkiran rkyatnya dmau... coz birokrasi... yg trnfaran.. Yg mrakyat...
@badialam-jh3nn,Trliht banget siplanga plongo dipandu😂😂😂
@violaalvoma4634,PRABOWO JAYA JAYA JAYA
@Ubai795,Mang mimin ngomong opo ngomong koyo wong gagap😅😅
@milaerlinda1469,Cara bicanya mirip banget sama pak jokowi😅😊
@Abdul-fl3ie,Imin klau diruba Indonesia kapan mjunya<br>Mau Indonesia jadi ank SDN...??
@mantomagetan3923,saya tidak mendukung Prabowo tapi saya pasti coblos Gibran 😍😍
@jayagading-gn6nw,Makanya jangan meremehkan anak muda  maju o2
@hambaalloh8074,Luar biasa debat kali ini 😂
@user-ek1on9uv2x,no 1👋🏻💪🏻
@user-kj6pp1lq7k,Mantap gibran.
@mohfaisalassyaukani9196,Muhaimin the best....❤❤
@rahmadfajriandi8804,Pak mahfud jadi dosen nya gibran di sini wkwkwk😅😅
@agungsubarkah5769,Cak imin ngaco kalo ngomong hahahah
@desibaye6132,"Gibran pasti aturan di atur oleh ayahnya tdk pernah Ada kenkan gajih , joko widokdok slma 10 th , tdk pernah naik"
@rii-kun9042,slepet 😁
@shareefannar3508,Slepat slepet min min...
@sarinahcell152,Klu cuman hanya sekedar ngomong sih gampang batupun bisa dirubah jadi emas
@antidrama5179,Slepat slepet😂
@indahucrit8836,Dr dlu mesti golput sejak pak jokowi njabat dan tahun depan g bakal golput lg
@desibaye6132,"Kami asn tdk akan memilih calon no.2 , karena pasti tidak ada pengangkatan peg negri , pasti seperti  presn joko widodo , dan tdk pernah ada kenaikan gajih"
@aisyahbita9910,Jateng pak Prabowo
@Yuukara,Dulu gak tertarik politik nyatanya nyemplung juga
@ramadananreapipolmansulbar6045,Apa gagasan ide dan terobosannya ke tiga kandidat  pastilah untuk kemajuan bangsa yg kami TDK suka jika ada salah satu pihak yg melakukan kecurangan untuk memenangkan pemilihan semoga semua calon dan pendukung ke 3 Paslon TDK ada yg curang dan yg terpilih semoga yg terbaik salam demokrasi
@jemjemtoys196,"hanya cak imin yang tidak mengucapkan salam dari agama lain .. hanya salam dari agama islam saja sprtinya beliau lupa bahwa negara indonesia beraneka suku , agama dan budaya"
@muhammadraihansaputra2380,"Cuman opini pribadi, beliau hanya mementingkan suara dari agama mayoritas, tapi nyatanya yang minoritas juga punya hak yang tercantum di Pancasila ❤❤"
@m.wldnfwzfwz8310,"semua fisi misinya sangat indah, tapi itu hanya yel2 kampanye belaka. saya yakin yg konsisten menegakkan keadilan n kesejahteaan rakyat adalah pa Mahfud MD"
