Author,Ulasan
@ats_official22,klo menurut saya debat cawapres kali memang saya akui gibran lbih baik dr yg lain dan cukup menguasai materi. dan juga bentuk tanya jawabnya sesuai dg yg ditanyakan. beda dengan debat capres nya krn paslon nomer 2 untuk capresnya bisa di bilang rangking 3 daripada capres yg lain. maka dari itu PEMILU 2024 sepertinya akan jd PEMILU yg seru krn setiap pasangan punya kelebihan dan kekurangan.
@JONMAIDI-fv9xk,"&quot; tapi di Riau sumatra, banyak tanah masyarakat kecil kena jalur hijau itu gimana yang mau pemilu ini.&quot;ehem, peraturan dari pusat, atau kah pemerinta setempat.&quot;orang bisa jadi golput semua.&quot;sekarang ini pertamina yang menguasai semua, tapi rakyat kecil menderita.&quot;yang benar aja..!!!"
@kristinasari3295,Mantap Gibran Prabowo ✌️
@adriyelsaputra5823,"Hanya ada dua yg bisa dan layak untuk menjadi pemimpin yaitu antara bapak Prabowo Subianto atau bapak Ganjar Pranowo, karena mereka berdua sudah terbukti dlm mengemban tugasnya . Jika ingin melihat kehancuran NKRI maka anis lah pilih sbg pemimpin"
@St-rs6lv,Menakutkan calon no 2 up
@jassonputra3124,"cakep gibrannya, mahmud ditanya mengenai polusi aja gk bsa jawab... mlh buat naskah tulul..."
@afendymandeu52,Pilihan kmi yg tepat adalah jatuh pada gifran calon undy pilpres no 2 yaitu dgn semangat jiwa yg bersih berani dan mampu utk berjuang bagi bangsa dan negara..... Semangat anak muda... Ini peluang emas.... ❤❤❤❤❤❤
@prismafiana8180,🫶🏻
@prismafiana8180,❤
@Joeharahap99,ganjar mahfud 21 program unggulan  klo kalian terpilih untuk memimpin indonesia ini. KALO 21 program unggulan tidak teerselesaikan maka di akhirat nanti rakyat menagih 21 program itu
@RIYOSTV,Kalau boleh saya rankingkan hasil debat ini maka juara;<br>1 Gibran<br>2 Mahfud <br>3 Cak imin
@octavianifebry2211,Gibran hebat
